k1	pc	pwkvn_gloss	indep_hits	mw_body_mention
agaRya	5-240-b	{#agaRya#}¦ <lex>Adj.</lex> {%nicht zu zählen%}. <ab>Nom. abstr.</ab> {#˚tA#} <ls>ŚIŚ. 16,6 (in der neueren Ausg.)</ls>.	bhs,sch,ap90,ap,vcp,pwg	
anAmA	1-288-b	{#anAmA#}¦ <ls>HEMĀDRI 2,a,51,20</ls>.	sch,ap90,ap,vcp,skd,pwg	
anavekzaka	7-298-a	{#anavekzaka#}¦ I. Mit <ab>Gen.</ab> {%sich nicht kümmernd um%} <ls>R. ed. Bomb. 4,29,5</ls>.	sch,ap90,ap,vcp,pwg	
avasarpin	1-294-c	{#avasarpin#}¦ Z. 3 lies 〔3,9〕.	sch,ap90,ap,vcp,pwg	
azwakika	5-248-a	{#*azwakika#}¦, nach <ls>KĀŚ.</ls> zu <ls>P. 5,2,116</ls> und {#*azwakin#}.	sch,ap90,ap,vcp,pwg	
kesarikA	2-299-a	{#kesarikA#}¦ <lex>f.</lex> etwa {%Wisch%} in {#pAtra˚#} <ls>HEM. PAR. 1,249</ls>.	sch,ap,vcp,skd,pwg	
saMbADa	7-381-b	{#saMbADa#}¦ VII. 1〉c〉 <ls>ĀŚV. GṚHY. 23,3</ls>.	bhs,sch,ap90,ap,pwg	
saMmuKa	7-381-b	{#saMmuKa#}¦ <lex>Adj.</lex> auch {%passend, den Umständen angemessen%} <ls>LALIT. 464,6</ls>. <ls n="LALIT.">466,4</ls>.	bhs,sch,ap90,ap,pwg	
upajIka	7-324-c	{#upajI/ka#}¦ I. (eher {#˚kA#} <lex>f.</lex>) nach <ls>BLOOMFIELD</ls> {%Ameise%}.	sch,ap90,ap,vcp,pwg	
uttejanA	5-250-a	{#uttejanA#}¦ <lex>f.</lex> {%das Schleifen%} <ls>ŚIŚ. 3,6</ls>.	sch,ap90,ap,vcp,skd	
Avaka	2-294-b	{#Avaka#} <lex>m.</lex> oder {#˚kA#} <lex>f.</lex>¦ <ab>Pl.</ab> {%eine <ab>best.</ab> Art den%} <is>Veda</is> {%zu recitiren%} <ls>HEMĀDRI 1,519,7</ls>.	sch,ap90,ap,vcp	
Card	7-342-b	{#Card#}¦ <ab>Caus.</ab> II. {%vonsichwerfen, abstreifen%} <ls>DIVYĀVAD. 275,8</ls>.	sch,ap90,ap,pwg	
Kaza	3-260-c	{#Kaza#}¦ <ab>s.</ab> {#pUti˚#}.	bhs,sch,vcp,skd	
acApala	1-283-c	{#acApala#}¦ <lex>n.</lex> {%Gesetztheit, Besonnenheit%} <ls>MBH. 12,329,19</ls>.	sch,ap90,ap,vcp	
akArpaRya	1-282-b	{#akArpaRya#}¦ definirt <ls>HEMĀDRI 2,a,9,6</ls>. <ls n="HEMĀDRI 2, a, 9,">7</ls>.	sch,ap90,ap,vcp	
akfzRa	1-282-b	{#akfzRa#}¦ <lex>Adj.</lex> {%nicht schwarz%} <ls>KĀTY. ŚR. 22,4,13</ls>.	sch,ap90,ap,vcp	
amI	1-293-a	{#amI#}¦ <lex>Adv.</lex> mit {#kar#} {%mit dem Namen%} {#amA#} {%belegen%} [Page1-293-b] <ls>NAIṢ. 4,63</ls>.	gra,sch,skd,pwg	
amUlaka	7-307-c	{#*amUlaka#}¦ <lex>n.</lex> {%eine unbegründete Anklage%} <ls>MAHĀVY. 258</ls>. {#amUlakAByAKyAna#} <lex>n.</lex> <ab>dass.</ab> <ls n="MAHĀVY.">261</ls>.	bhs,sch,ap90,ap	
anADAra	1-288-b	{#anADAra#}¦ <lex>Adj.</lex> {%ohne Halt%} <ls>AGNI-P. 3,7</ls>.	sch,ap90,ap,vcp	
anASrava	1-288-b	{#anASrava#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%ungehorsam,%} mit <ab>Gen.</ab> <ls>RAGH. 19,49</ls>. <ls>NAIṢ. 6,88</ls>.	bhs,sch,ap90,ap	
anASvAsa	7-298-d	{#anASvAsa#}¦ <lex>m.</lex> {%kein Vertrauen%} <ls>ANIRUDDHA</ls> zu <ls>SĀṂKHYAS. 1,56</ls>.	bhs,sch,ap,vcp	
asevana	7-315-c	{#asevana#}¦ <lex>n.</lex> und {#˚nA#} <lex>f.</lex> {%Mangel an Rücksichtnahme, Vernachlässigung%} <ls>JĀTAKAM. 23,16</ls>.	sch,ap90,ap,vcp	
asvAmya	3-255-b	{#asvAmya#}¦ <lex>n.</lex> {%kein Eigenthumsrecht, keine freie Verfügung%} <ls>DEVALA.</ls>	sch,ap90,ap,vcp	
atrasta	2-288-a	{#atrasta#}¦ <lex>Adj.</lex> {%unerschrocken%}.	sch,ap90,ap,vcp	
avinaSvara	5-247-a	{#avinaSvara#}¦ <lex>Adj.</lex> {%unvergänglich%} <ls>Spr. 6727</ls>.	sch,ap90,ap,vcp	
nakulAQyA	3-264-c	{#*nakulAQyA#}¦, lies {#*nakulAdyA#} <lex>f.</lex> {%die Ichneumonpflanze%} <ls>RĀJAN. 7,95</ls>.	sch,vcp,skd,pwg	
rAtriMmanya	7-389-d	{#rAtriMmanya#}¦ V. {%sich für Nacht haltend%} <ls>ŚRĪKAṆṬHAC. 4,12</ls>.	sch,ap90,ap,pwg	
saMpad	7-381-a	{#saMpad#}¦ VII. {%Gleichsetzung von Aehnlichem%} <ls>ŚAṂKARA</ls> zu <ls>VEDĀNTA 68,2</ls>.	sch,ap90,ap,pwg	
var	7-372-c	<hom>1.</hom> {#var#}¦ mit {#pari#} VI. {#˚vfta#} <ls>R. ed. Bomb. 3,71,34</ls> fehlerhaft für {#parivftta#}.	sch,ap90,ap,pwg	
AnupUrvI	4-296-a	{#AnupUrvI#}¦ <lex>f.</lex> bei den <is>Jaina</is> {%eine vorschriftsmässig nach 12jähriger Vorbereitung inscenirte Todesart%} <ls>ŚĪLĀṄKA 1,344</ls>.	sch,ap90,ap	
AtmaMBari	5-249-a	{#AtmaMBari#}¦, <ab>Nom. abstr.</ab> {#˚tA#} <lex>f.</lex> <ls>HARṢAC. (1936) 395,12</ls>.	ap90,ap,pwg	
AtmavaSya	5-249-a	{#AtmavaSya#}¦ <lex>Adj.</lex> {%wen%} oder {%was man in seiner Gewalt hat%} <ls>BHAG. 2,64</ls>.	sch,ap,vcp	
JalaYJalA	7-344-b	{#JalaYJalA#}¦ <lex>f.</lex> {%das Ohrenbewegen der Elephanten%} <ls>DHARMAŚARM. 6,35</ls>. Richtig wohl {#JalajJalA#}.	sch,ap,vcp	
SA	7-377-d	<hom>1.</hom> {#SA#}¦ mit {#A#}, Z. 2 lies <ab>Loc.</ab> <ab>st.</ab> <ab>Instr.</ab>	gra,sch,pwg	
SyA	7-378-c	{#SyA#}¦ mit {#A#}, {#ASyAna#} VI. 2〉b〉 {%ein wenig ausgetrocknet%} <ls>KIR. 16,10</ls>.	gra,sch,pwg	
Uhin	5-251-a	{#Uhin#}¦ <lex>Adj.</lex> von <ls>BÜHLER</ls> angenommen <ls>VASIṢṬHA 16,4</ls>. <ls n="VASIṢṬHA 16,">5</ls>. Beide <is>Sūtra</is> sind offenbar verdorben.	sch,ap90,ap	
Urjay	1-299-b	{#Urjay#}¦, {#Urjitam#} <lex>Adv.</lex> {%stolz, mit Selbstbewusstsein%} <ls>NĀGĀN. 62,21 (82,9)</ls>.	gra,sch,pwg	
aDizWa	1-286-b	{#aDizWa#}¦ <lex>n.</lex> {%Sitz, Wohnort%} <ls>HEMĀDRI 1,605,20</ls> (wenn nicht {#svAni DizRyAni#} zu lesen ist).	bhs,sch,pwg	
acintanIya	1-283-c	{#acintanIya#}¦ <lex>Adj.</lex> {%woran man nicht zu denken braucht, worauf man nicht zu achten hat%} <ls>Spr. 1823</ls>.	sch,ap,vcp	
agnAvizRu	1-283-a	{#agnA/vi/zRu#}¦ <ls>ŚAT. BR. 12,1,3,1</ls>.	sch,vcp,pwg	
