k1	pc	pwkvn_gloss	indep_hits	mw_body_mention
azwakika	5-248-a	{#*azwakika#}¦, nach <ls>KĀŚ.</ls> zu <ls>P. 5,2,116</ls> und {#*azwakin#}.	sch,ap90,ap,vcp,pwg	
amUlaka	7-307-c	{#*amUlaka#}¦ <lex>n.</lex> {%eine unbegründete Anklage%} <ls>MAHĀVY. 258</ls>. {#amUlakAByAKyAna#} <lex>n.</lex> <ab>dass.</ab> <ls n="MAHĀVY.">261</ls>.	bhs,sch,ap90,ap	
nakulAQyA	3-264-c	{#*nakulAQyA#}¦, lies {#*nakulAdyA#} <lex>f.</lex> {%die Ichneumonpflanze%} <ls>RĀJAN. 7,95</ls>.	sch,vcp,skd,pwg	
durgAhva	3-264-a	{#*durgAhva#}¦ zu streichen.	sch,vcp,pwg	
gArDa	7-338-a	{#*gArDa#}¦ <lex>n.</lex> <ls>MAHĀVY. 110,36</ls> fehlerhaft für {#gArdDya#}.	bhs,sch,pwg	Y
jijYAsTi	7-343-c	{#*jijYAsTi#} <ls>GAṆAP. 194,32</ls> und {#siYjAsTa#} <ls n="GAṆAP. 194,">33</ls>¦ <lex>n.</lex> nach <ls>LEUMANN</ls> fehlerhaft für {#miYjAsTi#} oder {#˚sTa#} {%Knochenmark%}. Im <lang>Prākrit</lang> ist {#miYjA = majj	sch,vcp,pwg	
kintamAm	7-332-b	{#*kintamAm#} und {#*kintarAm#}¦ <lex>Adv.</lex> <ls>P. 5,4,11</ls>.	sch,vcp,skd	
AKAta	5-248-c	{#*AKAta#}¦, lies <lex>m.</lex> statt <lex>n.</lex>	sch,pwg	
ARavay	5-248-c	{#*ARavay#}¦, <ab>st.</ab> dessen {#ARapay#} <ls>P. 1,3,1, Vārtt. 12</ls> in <ls>KIELHORNʼs Ausg.</ls>	sch,pwg	
ARqavant	5-248-c	{#*ARqavant#} und {#*ARqIra#}¦, nach der <ls>KĀŚ.</ls> {#aRqavant#} und {#aRqIra#}.	sch,pwg	
AdarSamuKa	7-317-d	{#*AdarSamuKa#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Schlangendämons <ls>MAHĀVY. 167</ls>.	bhs,sch	
AjYeya	7-317-b	{#*AjYeya#}¦ <lex>Adj.</lex> {%zu erkennen%} <ls>MAHĀVY. 20</ls>.	bhs,sch	
AkASAsaNgavimuktinirupalepa	7-316-c	{#*AkASAsaNgavimuktinirupalepa#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	bhs,sch	
AkASasParaRa	7-316-c	{#*AkASasParaRa#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	bhs,sch	
AkArABinirhAra	7-316-c	{#*AkArABinirhAra#}¦ <lex>m.</lex> <ab>desgl.</ab> <ls><ab>ebend.</ab></ls>	bhs,sch	
Akampya	7-316-b	{#*Akampya#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 24</ls>.	bhs,sch	
Akfzwimant	7-316-c	{#*Akfzwimant#}¦ <lex>Adj.</lex> {%gescheidt, klug%} <ls>MAHĀVY. 143</ls>.	bhs,sch	
AmratIrTa	7-319-a	{#*AmratIrTa#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Schlangenfürsten <ls>MAHĀVY. 167</ls>.	bhs,sch	
ArambaRaka	7-319-b	{#*ArambaRaka#}¦ <lex>n.</lex> etwa {%Geländer%} <ls>MAHĀVY. 226</ls>.	bhs,sch	
