07/17/2022 14:03:57	STC	 24557	hrī	1 HRĪ- -jihreti ;	1 HRĪ- jihreti ;	Typo	
07/17/2022 21:47:26	BOR	 1890	belly	[This is not a typo] the entry for "Belly (subst.)" is missing, and some of it is inside the previous keyword (ID 1889) "Bellows".	?	Missing entry	
07/17/2022 22:54:07	BOR	 571	all-knowing	sarvañjaḥ (ñjā, ñjaṃ)	sarvajñaḥ (jñā, jñaṃ)	Typo	
