06/05/2022 03:19:37	mw		AsvAdya	to be tasted or enjoyed, MBh. ; Kathās.   [ID=28270]      having a good taste, <!!!>palatable delicious<!!!>.  [ID=28271]  ←  (H3)  [Printed book page 1320,3] :  ā-svādya b   n. food,	palatable, delicious [comma]		ejf
06/05/2022 09:10:20	STC	 13560	pavitra	14(e) and 12(e)	14e and 12e (of course the e should better be a superscript)	?	Caujolle
06/05/2022 09:14:58	BUR	 10890	pavitra	N.-O. and den. are underligned but nothing happens when the mouse is on them (contrary to the other underlined words on the same page)		reference	Caujolle
