dict	L	pc_page	pc_col	k1	k2	line	batch	batch_date	process	directive	tag_context	old	new
mw	376.1	2	3	akkA	akkA	1358	batch_20240623	2024-06-23	human	new	text	<s>akkA</s> ¦ [supposed to be a term of foreign origin <ab>cf.</ab> <lang>Lat.</lang> <etym>Acca</etym>.]	<s>akkA</s> ¦ [supposed to be a term of foreign origin; <ab>cf.</ab> <lang>Lat.</lang> <etym>Acca</etym>.]
mw	630	3	3	akzAralavaRa	a-kzAra—lavaRa	2272	batch_20240623	2024-06-23	human	new	text	¦ or, according to, <ls>Goldst.</ls> and <ls>NBD.</ls>, better ‘(food) not containing acrid substances nor salt’; therefore also <s>akzArA<srs/>lavaRa</s> in the same sense <ab>cf.</ab> <s>kzAra-lavaRa</s>.<info lex="inh"/>	¦ or, according to, <ls>Goldst.</ls> and <ls>NBD.</ls>, better ‘(food) not containing acrid substances nor salt’; therefore also <s>akzArA<srs/>lavaRa</s> in the same sense, <ab>cf.</ab> <s>kzAra-lavaRa</s>.<info lex="inh"/>
mw	852	4	3	aguRa	a-guRa	3135	batch_20240623	2024-06-23	human	new	text	<s>a-guRa</s> ¦ <lex>mfn.</lex> destitute of qualities or attributes (said of the supreme Being <ab>cf.</ab> <s>nirguRa</s>)<info lex="m:f:n"/>	<s>a-guRa</s> ¦ <lex>mfn.</lex> destitute of qualities or attributes (said of the supreme Being, <ab>cf.</ab> <s>nirguRa</s>)<info lex="m:f:n"/>
mw	1300	6	3	agrima	agrima/	4806	batch_20240623	2024-06-23	human	new	text	¦ occurring further on or below (in a book <ab>cf.</ab> <s>a/gre</s>)<info lex="inh"/>	¦ occurring further on or below (in a book, <ab>cf.</ab> <s>a/gre</s>)<info lex="inh"/>
mw	2564	12	2	ati	a/ti	9358	batch_20240623	2024-06-23	human	new	text	<s>a/ti</s> ¦ <lex>ind.</lex> [probably <ab>neut.</ab> of an obsolete <ab>adj.</ab> <s>atin</s>, passing, going, beyond; See √ <s>at</s>, and <ab>cf.</ab> <lang>Old Germ.</lang> <etym>anti</etym>, <etym>unti</etym>, <etym>inti</etym>, <etym>unde</etym>, <etym>indi</etym>, &c.; <lang>Eng.</lang> <etym>and</etym>; <lang>Germ.</lang> <etym>und</etym>; <lang>Gk.</lang> <gk>ἔτι</gk>, <gk>ἀντί</gk>, <lang>Lat.</lang> <etym>ante</etym>; <lang>Lith.</lang> <etym>ant</etym>; <lang>Arm.</lang> <etym>ti</etym>; <lang>Zend</lang> <etym>aitì</etym>]. <info lex="ind"/>	<s>a/ti</s> ¦ <lex>ind.</lex> [probably <ab>neut.</ab> of an obsolete <ab>adj.</ab> <s>atin</s>, passing, going, beyond; see √ <s>at</s>, and <ab>cf.</ab> <lang>Old Germ.</lang> <etym>anti</etym>, <etym>unti</etym>, <etym>inti</etym>, <etym>unde</etym>, <etym>indi</etym>, &c.; <lang>Eng.</lang> <etym>and</etym>; <lang>Germ.</lang> <etym>und</etym>; <lang>Gk.</lang> <gk>ἔτι</gk>, <gk>ἀντί</gk>, <lang>Lat.</lang> <etym>ante</etym>; <lang>Lith.</lang> <etym>ant</etym>; <lang>Arm.</lang> <etym>ti</etym>; <lang>Zend</lang> <etym>aitì</etym>]. <info lex="ind"/>
mw	8528	45	2	annamala	anna—mala	31341	batch_20240623	2024-06-23	human	new	text	¦ spirituous liquor <ab>cf.</ab> <ls>Mn. xi, 93.</ls><info lex="inh"/>	¦ spirituous liquor, <ab>cf.</ab> <ls>Mn. xi, 93.</ls><info lex="inh"/>
mw	8764	46	2	anvart	anvart	32430	batch_20240623	2024-06-23	human	new	text	<s>anvart</s> ¦ (according to <ls>NBD.</ls>) shortened for <s>anu-vart</s> (√ <s>vft</s>), to go after, demand (a girl in marriage), <ls>AV. xiv, 1, 56.</ls> For the abbreviation <ab>cf.</ab> <s>anvA</s>, <s>apvA/</s>, <s>a-Bva</s>.	<s>anvart</s> ¦ (according to <ls>NBD.</ls>) shortened for <s>anu-vart</s> (√ <s>vft</s>), to go after, demand (a girl in marriage), <ls>AV. xiv, 1, 56.</ls> For the abbreviation, <ab>cf.</ab> <s>anvA</s>, <s>apvA/</s>, <s>a-Bva</s>.
mw	14917	85	3	ayukCada	ayuk-Cada	54291	batch_20240623	2024-06-23	human	new	text	<s>ayuk-Cada</s> <hom>b</hom> ¦ <lex>m.</lex> ‘having odd (<ab>i.e.</ab>: seven <ab>cf.</ab> <s>sapta-parRa</s>) leaves’, the plant <bot>Alstonia Scholaris</bot>, <ls>Śiś. vi, 50.</ls><info lex="m"/>	<s>ayuk-Cada</s> <hom>b</hom> ¦ <lex>m.</lex> ‘having odd (<ab>i.e.</ab> seven, <ab>cf.</ab> <s>sapta-parRa</s>) leaves’, the plant <bot>Alstonia Scholaris</bot>, <ls>Śiś. vi, 50.</ls><info lex="m"/>
mw	15250	87	2	arAti	a/-rAti	55418	batch_20240623	2024-06-23	human	new	text	¦ (in <ab>arithm.</ab>) the number six (there being six sins or internal enemies <ab>cf.</ab> <s>zaq-varga</s>). <info lex="inh"/>	¦ (in <ab>arithm.</ab>) the number six (there being six sins or internal enemies, <ab>cf.</ab> <s>zaq-varga</s>). <info lex="inh"/>
mw	16484	93	3	arha	arha	59756	batch_20240623	2024-06-23	human	new	text	<s>arha</s> ¦ <lex>mf(<s>A</s>)n.</lex> meriting, deserving (praise or blame <ab>cf.</ab> <s>pUjA<srs/>rha</s>, <s>nindA<srs/>rha</s>), worthy of, having a claim or being entitled to (<ab>acc.</ab> or <ab>Inf.</ab> or in <ab>comp.</ab>)<info lex="m:f#A:n"/>	<s>arha</s> ¦ <lex>mf(<s>A</s>)n.</lex> meriting, deserving (praise or blame, <ab>cf.</ab> <s>pUjA<srs/>rha</s>, <s>nindA<srs/>rha</s>), worthy of, having a claim or being entitled to (<ab>acc.</ab> or <ab>Inf.</ab> or in <ab>comp.</ab>)<info lex="m:f#A:n"/>
mw	17598	100	3	avanejana	ava-ne/jana	63692	batch_20240623	2024-06-23	human	new	text	¦ water for washing (hands [<ls>AV. xi, 3, 13</ls>] or feet <ab>cf.</ab> <s>pAdA<srs/>van°</s>). <info lex="inh"/>	¦ water for washing (hands [<ls>AV. xi, 3, 13</ls>] or feet, <ab>cf.</ab> <s>pAdA<srs/>van°</s>). <info lex="inh"/>
mw	20289	116	3	azwApruz	azwA—pruz	73126	batch_20240623	2024-06-23	human	new	text	<s>azwA—pruz</s> ¦ <lex>mfn.</lex> (<ab>nom.</ab> <lex type="hwinfo">n.</lex> <s>-prUw</s> !) having (<ab>i.e.</ab> marked by a sign similar to) eight drops (as a golden coin <ab>cf.</ab> <s>azwA-pada</s>), <ls>TS.</ls><info lex="m:f:n"/>	<s>azwA—pruz</s> ¦ <lex>mfn.</lex> (<ab>nom.</ab> <lex type="hwinfo">n.</lex> <s>-prUw</s> !) having (<ab>i.e.</ab> marked by a sign similar to) eight drops (as a golden coin, <ab>cf.</ab> <s>azwA-pada</s>), <ls>TS.</ls><info lex="m:f:n"/>
